X_m, Pressure_Pa
0.00000000e+00, 1.79992163e+06
1.82732416e-03, 1.79992163e+06
undef, undef
5.27918618e-03, 1.79992125e+06
6.90875668e-03, 1.79992113e+06
8.47728457e-03, 1.79992088e+06
9.98705719e-03, 1.79992050e+06
1.14402752e-02, 1.79992038e+06
1.28390566e-02, 1.79992013e+06
1.41854407e-02, 1.79992000e+06
undef, undef
1.54813910e-02, 1.79991975e+06
1.67287942e-02, 1.79991950e+06
1.79294720e-02, 1.79991913e+06
1.90851744e-02, 1.79991888e+06
2.01975834e-02, 1.79991850e+06
2.12683249e-02, 1.79991788e+06
2.22989544e-02, 1.79991738e+06
2.32909787e-02, 1.79991638e+06
undef, undef
2.42458433e-02, 1.79991525e+06
2.51649395e-02, 1.79991388e+06
undef, undef
2.60496065e-02, 1.79991200e+06
2.69011352e-02, 1.79990975e+06
2.77207661e-02, 1.79990663e+06
2.85096932e-02, 1.79990325e+06
2.92690694e-02, 1.79989900e+06
2.99999993e-02, 1.79989450e+06
3.05878278e-02, 1.79988975e+06
3.11657097e-02, 1.79988450e+06
3.17338146e-02, 1.79987850e+06
3.22923064e-02, 1.79987200e+06
3.28413509e-02, 1.79986500e+06
3.33811045e-02, 1.79985700e+06
3.39117274e-02, 1.79984813e+06
3.44333686e-02, 1.79983888e+06
3.49461846e-02, 1.79982850e+06
3.54503281e-02, 1.79981725e+06
3.59459370e-02, 1.79980513e+06
3.64331640e-02, 1.79979200e+06
3.69121432e-02, 1.79977800e+06
3.73830236e-02, 1.79976275e+06
3.78459319e-02, 1.79974650e+06
3.83010097e-02, 1.79972913e+06
3.87483910e-02, 1.79971050e+06
3.91881987e-02, 1.79969050e+06
3.96205671e-02, 1.79966913e+06
4.00456190e-02, 1.79964588e+06
4.04634774e-02, 1.79962125e+06
4.08742689e-02, 1.79959488e+06
4.12781090e-02, 1.79956638e+06
4.16751169e-02, 1.79953638e+06
4.20654044e-02, 1.79950363e+06
4.24490906e-02, 1.79946875e+06
4.28262874e-02, 1.79943100e+06
4.31970991e-02, 1.79939100e+06
4.35616374e-02, 1.79934775e+06
4.39200066e-02, 1.79930175e+06
4.42723148e-02, 1.79925225e+06
4.46186624e-02, 1.79919888e+06
4.49591465e-02, 1.79914213e+06
4.52938713e-02, 1.79908100e+06
4.56229337e-02, 1.79901538e+06
4.59464304e-02, 1.79894513e+06
4.62644510e-02, 1.79887000e+06
4.65770923e-02, 1.79878913e+06
4.68844399e-02, 1.79870263e+06
4.71865907e-02, 1.79861000e+06
4.74836305e-02, 1.79851025e+06
4.77756411e-02, 1.79840363e+06
4.80627120e-02, 1.79828888e+06
4.83449288e-02, 1.79816625e+06
4.86223660e-02, 1.79803450e+06
4.88951132e-02, 1.79789325e+06
4.91632409e-02, 1.79774150e+06
4.94268350e-02, 1.79757888e+06
4.96859699e-02, 1.79740450e+06
4.99407202e-02, 1.79721738e+06
5.01911566e-02, 1.79701638e+06
5.04373610e-02, 1.79680113e+06
5.06793968e-02, 1.79656988e+06
5.09173386e-02, 1.79632150e+06
5.11512533e-02, 1.79605513e+06
5.13812117e-02, 1.79576913e+06
5.16072772e-02, 1.79546213e+06
5.18295169e-02, 1.79513250e+06
5.20480014e-02, 1.79477838e+06
5.22627831e-02, 1.79439800e+06
5.24739362e-02, 1.79398975e+06
5.26815131e-02, 1.79355075e+06
5.28855808e-02, 1.79307900e+06
5.30861914e-02, 1.79257225e+06
5.32834120e-02, 1.79202750e+06
5.34772947e-02, 1.79144138e+06
5.36678955e-02, 1.79081150e+06
5.38552739e-02, 1.79013400e+06
5.40394783e-02, 1.78940463e+06
5.42205684e-02, 1.78861963e+06
5.43985963e-02, 1.78777463e+06
5.45736067e-02, 1.78686475e+06
5.47456592e-02, 1.78588425e+06
5.49148023e-02, 1.78482763e+06
5.50810806e-02, 1.78368838e+06
5.52445501e-02, 1.78245950e+06
5.54052480e-02, 1.78113338e+06
5.55632301e-02, 1.77970150e+06
5.57185374e-02, 1.77815475e+06
5.58712184e-02, 1.77648275e+06
5.60213178e-02, 1.77467388e+06
5.61688766e-02, 1.77271638e+06
5.63139357e-02, 1.77059613e+06
5.64565435e-02, 1.76829725e+06
5.65967374e-02, 1.76580313e+06
5.67345582e-02, 1.76309388e+06
5.68700507e-02, 1.76014900e+06
5.70032485e-02, 1.75694400e+06
5.71341924e-02, 1.75345163e+06
5.72629198e-02, 1.74964213e+06
5.73894717e-02, 1.74548113e+06
5.75138777e-02, 1.74093013e+06
5.76361828e-02, 1.73594538e+06
5.77564202e-02, 1.73047638e+06
5.78746200e-02, 1.72445800e+06
5.79908192e-02, 1.71779525e+06
5.81050552e-02, 1.71034550e+06
5.82173578e-02, 1.70200825e+06
5.83277568e-02, 1.69273750e+06
5.84362932e-02, 1.68242150e+06
5.85429892e-02, 1.67087938e+06
5.86478822e-02, 1.65786175e+06
5.87509982e-02, 1.64296350e+06
5.88523708e-02, 1.62537388e+06
5.89520298e-02, 1.60362238e+06
undef, undef
5.90500012e-02, 1.57534225e+06
5.91534823e-02, 1.53855750e+06
5.92566095e-02, 1.49572750e+06
5.93593866e-02, 1.44870225e+06
5.94618171e-02, 1.39803025e+06
5.95638976e-02, 1.34401125e+06
5.96656278e-02, 1.28547925e+06
5.97670153e-02, 1.22506788e+06
5.98680601e-02, 1.16518975e+06
5.99687584e-02, 1.10547550e+06
6.00691140e-02, 1.04683188e+06
6.01691268e-02, 9.94145875e+05
6.02688044e-02, 9.57074750e+05
6.03681393e-02, 9.41313938e+05
6.04671389e-02, 9.44259188e+05
6.05657995e-02, 9.62581000e+05
6.06641248e-02, 9.87575188e+05
6.07621148e-02, 1.00610488e+06
6.08597733e-02, 1.01221563e+06
6.09571002e-02, 1.00781425e+06
6.10540956e-02, 9.92895688e+05
6.11507632e-02, 9.67916500e+05
6.12470992e-02, 9.40424125e+05
6.13431074e-02, 9.15872063e+05
6.14387915e-02, 8.94369250e+05
6.15341477e-02, 8.75874875e+05
6.16291799e-02, 8.59867500e+05
6.17238916e-02, 8.44066250e+05
6.18182793e-02, 8.26440375e+05
6.19123466e-02, 8.06689813e+05
6.20060936e-02, 7.86930063e+05
6.20995201e-02, 7.69031750e+05
6.21926300e-02, 7.52910750e+05
6.22854270e-02, 7.37717688e+05
6.23779036e-02, 7.23607875e+05
6.24700673e-02, 7.11098938e+05
6.25619218e-02, 6.99784375e+05
6.26534596e-02, 6.89192000e+05
6.27446845e-02, 6.79001750e+05
6.28355965e-02, 6.68791375e+05
6.29262105e-02, 6.58107125e+05
6.30165040e-02, 6.47568125e+05
6.31064996e-02, 6.38486438e+05
6.31961823e-02, 6.31924625e+05
6.32855669e-02, 6.28500625e+05
6.33746460e-02, 6.27916813e+05
6.34634197e-02, 6.29553875e+05
6.35518879e-02, 6.33323313e+05
6.36400655e-02, 6.38610250e+05
6.37279376e-02, 6.43234250e+05
6.38155118e-02, 6.45263500e+05
6.39027804e-02, 6.44592688e+05
6.39897585e-02, 6.41247750e+05
6.40764460e-02, 6.34954750e+05
6.41628355e-02, 6.26278938e+05
6.42489269e-02, 6.16148375e+05
6.43347278e-02, 6.05441188e+05
6.44202381e-02, 5.94644563e+05
6.45054579e-02, 5.83610063e+05
6.45903870e-02, 5.72006125e+05
6.46750256e-02, 5.60470375e+05
6.47593811e-02, 5.49728500e+05
6.48434460e-02, 5.39707625e+05
6.49272278e-02, 5.30334875e+05
6.50107190e-02, 5.21568219e+05
6.50939271e-02, 5.13286594e+05
6.51768595e-02, 5.05215188e+05
6.52595013e-02, 4.96960188e+05
6.53418675e-02, 4.88769813e+05
6.54239580e-02, 4.81402531e+05
6.55057579e-02, 4.75171438e+05
6.55872896e-02, 4.69956625e+05
6.56685382e-02, 4.65474656e+05
6.57495111e-02, 4.61401375e+05
6.58302084e-02, 4.57465844e+05
6.59106374e-02, 4.53499594e+05
6.59907833e-02, 4.49437906e+05
6.60706684e-02, 4.45288156e+05
6.61502704e-02, 4.41089938e+05
6.62296042e-02, 4.36888375e+05
6.63086772e-02, 4.32729688e+05
6.63874745e-02, 4.28672188e+05
6.64660037e-02, 4.24768438e+05
6.65442646e-02, 4.20975594e+05
6.66222572e-02, 4.17098156e+05
6.66999891e-02, 4.13067906e+05
6.67774603e-02, 4.09112500e+05
6.68546632e-02, 4.05401594e+05
6.69315979e-02, 4.01927750e+05
6.70082793e-02, 3.98655313e+05
6.70846999e-02, 3.95542750e+05
6.71608597e-02, 3.92550875e+05
6.72367588e-02, 3.89648719e+05
6.73123971e-02, 3.86818719e+05
6.73877820e-02, 3.84059125e+05
6.74629062e-02, 3.81384188e+05
6.75377846e-02, 3.78821500e+05
6.76124021e-02, 3.76407594e+05
6.76867664e-02, 3.74183375e+05
6.77608773e-02, 3.72188531e+05
6.78347349e-02, 3.70457813e+05
6.79083392e-02, 3.69016219e+05
6.79816976e-02, 3.67876750e+05
6.80548102e-02, 3.67039250e+05
6.81276694e-02, 3.66492438e+05
6.82002828e-02, 3.66201938e+05
6.82726428e-02, 3.66088938e+05
6.83447644e-02, 3.66037469e+05
6.84166402e-02, 3.65937750e+05
6.84882626e-02, 3.65683500e+05
6.85596541e-02, 3.65150719e+05
6.86307922e-02, 3.64226438e+05
6.87016919e-02, 3.62836875e+05
6.87723532e-02, 3.60957500e+05
6.88427761e-02, 3.58609719e+05
6.89129531e-02, 3.55849781e+05
6.89828992e-02, 3.52754875e+05
6.90525994e-02, 3.49415188e+05
6.91220686e-02, 3.45937406e+05
